model,board,dataset,score,mapped_points,rejected_points,exact_input_support
boundary-full,generation,xiao_unique_hues,1.7411979551585641,0,0,True
boundary-full,generation,osa_ucs_1974,0.2900490674199071,0,0,True
boundary-full,measurement,macadam1942,0.3464203743785796,0,0,True
boundary-full,measurement,luo_rigg_ellipses,0.3250732405428177,0,0,True
boundary-full,measurement,alder1982,0.3283194971467223,0,0,True
boundary-full,measurement,regan_1994_cvd_ellipses,0.23162770998030474,0,0,True
boundary-full,measurement,koenderink_2026_3d_metric_field,0.3865951575665851,0,0,True
boundary-full,measurement,brown_1957_12obs_ellipsoids,0.35285764047179907,191,0,False
boundary-full,measurement,wyszecki_fielder_1971_ellipsoids,0.32567946002763337,41,0,False
boundary-full,measurement,brown_macadam_1949_ellipsoids,0.34328176112273123,378,0,False
boundary-full,measurement,huang_2012_cielab_ellipses,0.3091493101993406,0,0,True
boundary-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3435196727983676,0,0,True
boundary-full,measurement,hong_2025_ellipsoids,0.3014609082491365,0,0,True
boundary-full,measurement,bfd,33.06424445693425,0,0,True
boundary-full,measurement,leeds,27.223158231743856,0,0,True
boundary-full,measurement,witt,22.732434887902514,0,0,True
boundary-full,measurement,rit,29.598691478704385,0,0,True
boundary-full,measurement,macadam,32.81533766817034,0,0,True
balanced-full,generation,hung_berns,3.398766912630055,5,0,False
balanced-full,generation,ebner_fairchild,2.241444635339662,0,0,True
balanced-full,generation,munsell,3.814760894130379,0,0,True
balanced-full,generation,xiao_unique_hues,1.7411979551585635,0,0,True
balanced-full,generation,osa_ucs_1974,0.2876288033731578,0,0,True
balanced-full,measurement,macadam1942,0.3403918914965501,0,0,True
balanced-full,measurement,luo_rigg_ellipses,0.3259507187055268,0,0,True
balanced-full,measurement,alder1982,0.3254187276026017,0,0,True
balanced-full,measurement,regan_1994_cvd_ellipses,0.23918890052245803,0,0,True
balanced-full,measurement,koenderink_2026_3d_metric_field,0.38743504531923795,0,0,True
balanced-full,measurement,brown_1957_12obs_ellipsoids,0.3527557067436111,191,0,False
balanced-full,measurement,wyszecki_fielder_1971_ellipsoids,0.3246848433885532,41,0,False
balanced-full,measurement,brown_macadam_1949_ellipsoids,0.3432360275918789,378,0,False
balanced-full,measurement,huang_2012_cielab_ellipses,0.30716875415072675,0,0,True
balanced-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3338889893220228,0,0,True
balanced-full,measurement,hong_2025_ellipsoids,0.30124742470130067,0,0,True
balanced-full,measurement,bfd,32.95493893178956,0,0,True
balanced-full,measurement,leeds,27.118386412783323,0,0,True
balanced-full,measurement,witt,22.58265163117499,0,0,True
balanced-full,measurement,rit,30.08688746831058,0,0,True
balanced-full,measurement,macadam,32.157952342583165,0,0,True
metric-full,generation,hung_berns,3.398766912630055,5,0,False
metric-full,generation,ebner_fairchild,2.2414446353396618,0,0,True
metric-full,generation,munsell,3.814760894130379,0,0,True
metric-full,generation,xiao_unique_hues,1.7411979551585643,0,0,True
metric-full,generation,osa_ucs_1974,0.28996157674105183,0,0,True
metric-full,measurement,macadam1942,0.3428478536149971,0,0,True
metric-full,measurement,luo_rigg_ellipses,0.3248605220264469,0,0,True
metric-full,measurement,alder1982,0.3277628590532531,0,0,True
metric-full,measurement,regan_1994_cvd_ellipses,0.23193183786184474,0,0,True
metric-full,measurement,koenderink_2026_3d_metric_field,0.38821294546709584,0,0,True
metric-full,measurement,brown_1957_12obs_ellipsoids,0.3563649398215597,191,0,False
metric-full,measurement,wyszecki_fielder_1971_ellipsoids,0.3245000791265936,41,0,False
metric-full,measurement,brown_macadam_1949_ellipsoids,0.34515750295990416,378,0,False
metric-full,measurement,huang_2012_cielab_ellipses,0.3110745620585429,0,0,True
metric-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.337348744348938,0,0,True
metric-full,measurement,hong_2025_ellipsoids,0.3001651536352235,0,0,True
metric-full,measurement,bfd,32.70717982022345,0,0,True
metric-full,measurement,leeds,26.939913505739298,0,0,True
metric-full,measurement,witt,22.630294001193924,0,0,True
metric-full,measurement,rit,29.717937786537018,0,0,True
metric-full,measurement,macadam,32.563633884770056,0,0,True
