experiment,background,standard,direction,n,empirical_logistic_pse,predicted_pse,logistic_scale
2,50.0,1,5,720,0.3638491987551875,0.3534327623751662,0.05755594731330401
2,50.0,1,6,720,0.6922890674655142,0.7183411182133685,0.08892322562378303
2,50.0,1,7,720,0.564658602897165,0.5408761190700822,0.056725080789861264
2,50.0,1,8,720,0.6013675916398018,0.5860884744176476,0.053601653629626086
2,50.0,1,9,720,0.6684056941515508,0.6483962931014517,0.0344513822725437
2,50.0,1,10,720,0.6078279551951143,0.5838170073965865,0.035025717417536927
2,50.0,2,1,720,0.5576986160125941,0.590679579458375,0.11509402124679902
2,50.0,2,2,720,0.47013108020127914,0.47301795758312803,0.07341385217279892
2,50.0,2,3,720,0.5024350394885226,0.528048783391049,0.04861791577401369
2,50.0,2,4,720,0.49599606259529755,0.48013168340442125,0.045541693115222416
2,50.0,2,5,720,0.2808610389800597,0.29108004840847923,0.035548164831591574
2,50.0,2,6,720,0.5560825338289156,0.5908023320791824,0.0788599088871069
2,50.0,2,7,720,0.4598689885549099,0.45515360639616864,0.06225093694247722
2,50.0,2,8,720,0.47875092390321167,0.49982624281600097,0.09780560710066702
2,50.0,2,9,720,0.5255106688388724,0.5585309912728498,0.07223475472410357
2,50.0,2,10,720,0.4686213761997735,0.5067051078280955,0.06764671072577023
2,50.0,3,1,720,0.3362230622869686,0.4144268151738526,0.14077882950683
2,50.0,3,2,720,0.2987543577941251,0.323859356267993,0.09814862339728382
2,50.0,3,3,720,0.32197203518103334,0.3532040947505357,0.10379953036103046
2,50.0,3,4,720,0.31204558077002503,0.3135731631743097,0.0780864547049193
2,50.0,3,5,720,0.17773809708086014,0.1846211486848917,0.04537458243121682
2,50.0,3,6,720,0.38116889807426557,0.3738510800402891,0.03938684410794592
2,50.0,3,7,720,0.2581104438015573,0.29983313976534365,0.09825353691455888
2,50.0,3,8,720,0.28077967668330556,0.3374761446460891,0.11925759900970402
2,50.0,3,9,720,0.2803773099879482,0.3843970227810861,0.14532288970580082
2,50.0,3,10,720,0.2722565927621641,0.3539149115634199,0.11332947256484037
2,120.0,1,1,720,0.6112833080063343,0.5897742182881283,0.2611231738951058
2,120.0,1,2,720,0.4282832343661103,0.4269180345163869,0.09603847173243273
2,120.0,1,3,720,0.4539548762896036,0.4625194522868168,0.09935471912789172
2,120.0,1,4,720,0.40774084227696444,0.41287003263702005,0.09351379656582534
2,120.0,1,5,720,0.22927188670714696,0.24695741643440283,0.047253704088864895
2,120.0,1,6,720,0.5266856758367419,0.5432524012396553,0.17750748257619134
2,120.0,1,7,720,0.4939578343058316,0.49543975076270197,0.10807132641921795
2,120.0,1,8,720,0.5757807454423538,0.5739061515311272,0.09888626780031311
2,120.0,1,9,720,0.6508113672142606,0.649885559795832,0.09826638236468599
2,120.0,1,10,720,0.5474004449470475,0.5739209783532069,0.09730115501271873
2,120.0,2,1,720,0.6949229412908821,0.6651038331133619,0.24106037231582814
2,120.0,2,2,720,0.5182141164111685,0.48701086256675896,0.10073015274089175
2,120.0,2,3,720,0.5122311577899759,0.5326335028159899,0.0821585506946152
2,120.0,2,4,720,0.48108037318524616,0.4800197672912133,0.07255318127300843
2,120.0,2,5,720,0.28580793241745717,0.29055021429824124,0.058755362714176355
2,120.0,2,6,720,0.6140717497793434,0.6410621366486158,0.15758650884783595
2,120.0,2,7,720,0.5604558137960398,0.5751436519772466,0.09128327869047442
2,120.0,2,8,720,0.656370766766107,0.6579442455512494,0.10179912371922707
2,120.0,2,9,720,0.7385361659543728,0.7376653078392639,0.10910581825692321
2,120.0,2,10,720,0.6304044706974563,0.6469494672038523,0.08771389969280692
2,120.0,3,1,720,0.4503455313674072,0.4512155911937714,0.12092955692547123
2,120.0,3,2,720,0.3439148221404394,0.31989733326743297,0.09792600651996537
2,120.0,3,3,720,0.3558356347983802,0.34086414178907987,0.09119751986449379
2,120.0,3,4,720,0.2904285492859458,0.29933765964341574,0.10646067545933087
2,120.0,3,5,720,0.16840705769822,0.1755471674173208,0.04633618293241566
2,120.0,3,6,720,0.42751595677259546,0.3842848722793061,0.07462217153163632
2,120.0,3,7,720,0.43245136785181465,0.3601284978185837,0.08392232668845105
2,120.0,3,8,720,0.4808856607320233,0.42628203558426525,0.1272906123475913
