observer,retinal_illuminance_Td,hue,Pe,x_JV,y_JV
MA,10,RB,0.4,0.25,0.228
MA,10,B,0.4,0.221,0.316
MA,10,GB,0.4,0.222,0.524
MA,10,G,0.4,0.248,0.528
MA,10,GY,0.4,0.346,0.453
MA,10,Y,0.4,0.428,0.371
MA,10,RY,0.4,0.489,0.31
MA,10,R,0.4,0.409,0.27
MA,10,RB,0.3,0.267,0.259
MA,10,B,0.3,0.243,0.351
MA,10,G,0.3,0.251,0.478
MA,10,GY,0.3,0.334,0.43
MA,10,Y,0.3,0.406,0.36
MA,10,RY,0.3,0.451,0.316
MA,10,R,0.3,0.414,0.298
MA,10,RB,0.2,0.286,0.292
MA,10,B,0.2,0.268,0.381
MA,10,GY,0.2,0.322,0.41
MA,10,Y,0.2,0.385,0.348
MA,100,RB,1.0,0.233,0.041
MA,100,B,1.0,0.112,0.095
MA,100,GB,1.0,0.004,0.617
MA,100,G,1.0,0.018,0.77
MA,100,GY,1.0,0.417,0.582
MA,100,Y,1.0,0.538,0.461
MA,100,RY,1.0,0.642,0.357
MA,100,R,1.0,0.61,0.217
MA,100,RB,0.9,0.235,0.066
MA,100,B,0.9,0.116,0.166
MA,100,GB,0.9,0.042,0.621
MA,100,G,0.9,0.055,0.724
MA,100,GY,0.9,0.412,0.553
MA,100,Y,0.9,0.515,0.451
MA,100,RY,0.9,0.611,0.355
MA,100,R,0.9,0.554,0.215
MA,100,RB,0.8,0.245,0.096
MA,100,B,0.8,0.132,0.21
MA,100,GB,0.8,0.074,0.588
MA,100,G,0.8,0.09,0.686
MA,100,GY,0.8,0.397,0.534
MA,100,Y,0.8,0.49,0.443
MA,100,RY,0.8,0.582,0.351
MA,100,R,0.8,0.516,0.221
MA,100,RB,0.7,0.243,0.119
MA,100,B,0.7,0.149,0.253
MA,100,GB,0.7,0.107,0.585
MA,100,G,0.7,0.127,0.65
MA,100,GY,0.7,0.385,0.512
MA,100,Y,0.7,0.47,0.429
MA,100,RY,0.7,0.548,0.351
MA,100,R,0.7,0.49,0.234
MA,100,RB,0.6,0.237,0.143
MA,100,B,0.6,0.168,0.291
MA,100,GB,0.6,0.141,0.565
MA,100,G,0.6,0.16,0.611
MA,100,GY,0.6,0.371,0.494
MA,100,Y,0.6,0.449,0.416
MA,100,RY,0.6,0.527,0.339
MA,100,R,0.6,0.466,0.246
MA,100,RB,0.5,0.248,0.177
MA,100,B,0.5,0.19,0.317
MA,100,GB,0.5,0.178,0.55
MA,100,G,0.5,0.193,0.57
MA,100,GY,0.5,0.359,0.472
MA,100,Y,0.5,0.429,0.404
MA,100,RY,0.5,0.5,0.333
MA,100,R,0.5,0.443,0.261
MA,100,RB,0.4,0.256,0.22
MA,100,B,0.4,0.214,0.345
MA,100,GB,0.4,0.215,0.513
MA,100,G,0.4,0.222,0.524
MA,100,GY,0.4,0.348,0.451
MA,100,Y,0.4,0.409,0.391
MA,100,RY,0.4,0.478,0.322
MA,100,R,0.4,0.428,0.279
MA,100,RB,0.3,0.268,0.257
MA,100,B,0.3,0.24,0.366
MA,100,GB,0.3,0.248,0.473
MA,100,G,0.3,0.251,0.478
MA,100,GY,0.3,0.334,0.43
MA,100,Y,0.3,0.39,0.376
MA,100,RY,0.3,0.449,0.318
MA,100,R,0.3,0.413,0.297
MA,100,RB,0.2,0.284,0.299
MA,100,B,0.2,0.269,0.392
MA,100,GY,0.2,0.322,0.409
MA,100,Y,0.2,0.371,0.362
MA,1000,RB,1.0,0.339,0.09
MA,1000,B,1.0,0.115,0.088
MA,1000,GB,1.0,0.004,0.617
MA,1000,G,1.0,0.005,0.681
MA,1000,GY,1.0,0.388,0.609
MA,1000,Y,1.0,0.493,0.506
MA,1000,RY,1.0,0.675,0.325
MA,1000,R,1.0,0.668,0.243
MA,1000,RB,0.9,0.307,0.099
MA,1000,B,0.9,0.1,0.219
MA,1000,GB,0.9,0.042,0.595
MA,1000,G,0.9,0.045,0.67
MA,1000,GY,0.9,0.383,0.581
MA,1000,Y,0.9,0.475,0.49
MA,1000,RY,0.9,0.633,0.334
MA,1000,R,0.9,0.606,0.239
