gamut,family,H,balancedCV,metricCV,balancedJump,metricJump
srgb,black,120,0.33554691639486695,0.18878587743237288,0.03320648507462882,0.02706435637965348
srgb,black,125,0.34726422733035495,0.23336584417661058,0.03040764894826715,0.027584740385121487
srgb,black,130,0.3580901778447944,0.2534401041652765,0.029227095992790476,0.02529534608916027
srgb,black,135,0.3449844812751559,0.24924460735398676,0.02800824260458789,0.024807918156948754
srgb,black,140,0.29085799269356916,0.20218161117546912,0.025429407782540426,0.02410116080195778
srgb,black,145,0.2403607687903523,0.16075413902519356,0.022524186319310024,0.01981092791535209
srgb,black,150,0.23374796820461302,0.17393404917049143,0.02147519455702762,0.020892441988012503
srgb,black,155,0.2416945250183736,0.21509109332576135,0.019765262172012264,0.02612392508403198
srgb,black,160,0.25236793111603195,0.3333393514502814,0.025026985994719468,0.03380998879428903
srgb,black,165,0.2788969783992451,0.3427280839643393,0.028536955151225972,0.04083369724535482
srgb,black,170,0.3019973411786454,0.40825940808988614,0.030862654529321937,0.04378733492047151
srgb,black,175,0.25011830736374413,0.3715094518441173,0.02737874846255492,0.03992355860587478
srgb,black,180,0.2581347701434812,0.3260371771376219,0.02780108547940942,0.03899948820354629
srgb,black,185,0.2902378575383353,0.26162200735681934,0.03309231073895781,0.036038656309707325
srgb,black,190,0.3487941464748457,0.2502559973157701,0.03992101738719274,0.039271573710343004
srgb,black,195,0.4285928734771824,0.2918856844092538,0.04454922711428631,0.03603759707196689
srgb,black,200,0.4550918558435006,0.3167010027546877,0.04624288245275659,0.03387208411199388
srgb,black,205,0.43393865364755946,0.3380763743673224,0.04242035321473854,0.04230263944718756
srgb,black,210,0.4033841310926479,0.34680147946229856,0.04381764235265669,0.04657567002127922
srgb,black,215,0.3790671054015844,0.33424732500470833,0.04427858340823779,0.04844522102051574
srgb,black,220,0.36486993733088,0.33605366490594074,0.040217078867038694,0.04569794140881865
srgb,black,225,0.34239271032066415,0.33982945227107914,0.03500985386917493,0.03860112939720288
srgb,black,230,0.3374735718128853,0.4053836296948282,0.03461668151930836,0.06789756320447683
srgb,black,235,0.32315739125509957,0.44807630704266926,0.03308374137619668,0.06607384673616441
srgb,black,240,0.30172309573506684,0.3572363057213334,0.03337601562551029,0.03953882702297455
srgb,black,245,0.308992162612382,0.39873675839975176,0.033163793518510384,0.03552152398901798
srgb,black,250,0.3363555501367984,0.5367544165388377,0.03237272286999445,0.03850121503422047
srgb,black,255,0.2966687883556649,0.5561370515518673,0.03225179440095959,0.04952918005624524
srgb,black,260,0.3477303959755697,0.6140357648754368,0.042272320263259874,0.0557718220658175
srgb,black,265,0.32528271356162336,0.5949834593301517,0.041962670896899826,0.05688231382832963
srgb,black,270,0.31550695783974986,0.5831701372652385,0.0397811737415265,0.055817550851830114
srgb,black,275,0.3375742325786937,0.5552627986862962,0.04002307434587625,0.055679998920281935
srgb,black,280,0.39224515447067243,0.4494144248898856,0.04112593757546009,0.05563765413130042
srgb,black,285,0.33763114682186146,0.3843994631586526,0.035242084471597386,0.046226181899795354
srgb,black,290,0.3145989019294667,0.2994706440332083,0.03180736502391586,0.03521723302581457
srgb,black,295,0.33685576163618147,0.25353664467415304,0.032367856278508265,0.027421300293424523
srgb,black,300,0.29311076575890954,0.2288501923133,0.02873787082885932,0.025101647927811464
srgb,black,305,0.24280667341791165,0.2437844928824683,0.02576611720352594,0.029162364515686275
srgb,black,310,0.2139797283263174,0.2364374527066469,0.02378689139882656,0.027194573308732473
srgb,black,315,0.2114526869911259,0.2319200603034745,0.02381743307466801,0.02347753124903789
srgb,black,320,0.23404675801844227,0.26982727929107453,0.023255427904674185,0.02356375972110589
srgb,black,325,0.28293937625616755,0.349513430414511,0.023520580059216208,0.026587209470705996
srgb,black,330,0.32860602380902815,0.40860474034231953,0.026605775718079143,0.0324110881936686
srgb,black,335,0.39078036956247747,0.4878714932942546,0.033750751689529686,0.05254609822321553
srgb,black,340,0.4370353926860127,0.5606003324510882,0.03786345046544536,0.07610418247073547
srgb,black,345,0.41219417777258627,0.533317521446576,0.03422419491839644,0.0705192774511662
srgb,black,350,0.3577369238499669,0.4416944473238729,0.03040443156088003,0.055715372154788265
srgb,black,355,0.32437641330022987,0.3238188708147668,0.029086300949877374,0.043755729037074906
srgb,white,0,0.15413302015120411,0.3126990516620838,0.012161728407451392,0.022649331900959125
srgb,white,5,0.1420222059096814,0.2973261153725889,0.011414432495844312,0.020434486026819902
srgb,white,10,0.1695377073420208,0.3173152848458374,0.011084758650645638,0.018341386862021282
srgb,white,15,0.17652536454340087,0.3471089484399362,0.011609801088329782,0.019170516506482427
srgb,white,20,0.21566938756488016,0.38904035791411495,0.013279187242701138,0.020124257921671548
