model,board,dataset,score,exact_input_support,mapped_points,rejected_points,continued_points
gentle-full,measurement,huang_2012_cielab_ellipses,0.315738198744914,True,0,0,0
gentle-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3259122166824958,True,0,0,0
gentle-full,measurement,hong_2025_ellipsoids,0.2990782001350932,True,0,0,0
gentle-full,measurement,bfd,32.31776650759854,True,,,
gentle-full,measurement,leeds,27.11789551982636,True,,,
gentle-full,measurement,witt,22.89447098562021,True,,,
gentle-full,measurement,rit,29.37647538583915,True,,,
gentle-full,measurement,macadam,32.468392142801754,True,0,0,0
balanced-full-clip,generation,hung_berns,3.397949177217452,False,5,0,0
balanced-full-clip,generation,ebner_fairchild,2.242868894705369,True,0,0,0
balanced-full-clip,generation,munsell,3.8162200642434185,True,0,0,0
balanced-full-clip,generation,xiao_unique_hues,1.7425659709829697,True,0,0,0
balanced-full-clip,generation,osa_ucs_1974,0.2901087147421342,True,0,0,0
balanced-full-clip,measurement,macadam1942,0.34671393288659486,True,0,0,25
balanced-full-clip,measurement,luo_rigg_ellipses,0.3247715989584314,True,0,0,0
balanced-full-clip,measurement,alder1982,0.328289719370738,True,0,0,15
balanced-full-clip,measurement,regan_1994_cvd_ellipses,0.23163498092495668,True,0,0,0
balanced-full-clip,measurement,koenderink_2026_3d_metric_field,0.3864784044695207,True,0,0,0
balanced-full-clip,measurement,brown_1957_12obs_ellipsoids,0.35283163127076056,False,191,0,80
balanced-full-clip,measurement,wyszecki_fielder_1971_ellipsoids,0.325616800702374,False,41,0,0
balanced-full-clip,measurement,brown_macadam_1949_ellipsoids,0.34331345002163455,False,378,0,187
balanced-full-clip,measurement,huang_2012_cielab_ellipses,0.30952184838015834,True,0,0,0
balanced-full-clip,measurement,berns_1991_rit_dupont_tolerance_vectors,0.34286556047979416,True,0,0,0
balanced-full-clip,measurement,hong_2025_ellipsoids,0.3014736773395226,True,0,0,0
balanced-full-clip,measurement,bfd,33.085089047696506,True,,,
balanced-full-clip,measurement,leeds,27.23144712832876,True,,,
balanced-full-clip,measurement,witt,22.725494855828074,True,,,
balanced-full-clip,measurement,rit,29.564720240820293,True,,,
balanced-full-clip,measurement,macadam,32.80250387056694,True,0,0,0
gentle-full-clip,generation,hung_berns,3.397949177217452,False,5,0,0
gentle-full-clip,generation,ebner_fairchild,2.242868894705369,True,0,0,0
gentle-full-clip,generation,munsell,3.8162200642434185,True,0,0,0
gentle-full-clip,generation,xiao_unique_hues,1.7425659709829697,True,0,0,0
gentle-full-clip,generation,osa_ucs_1974,0.2750899018149533,True,0,0,0
gentle-full-clip,measurement,macadam1942,0.3327515634216961,True,0,0,25
gentle-full-clip,measurement,luo_rigg_ellipses,0.3121094261945969,True,0,0,0
gentle-full-clip,measurement,alder1982,0.3205992192987287,True,0,0,15
gentle-full-clip,measurement,regan_1994_cvd_ellipses,0.22726530261495476,True,0,0,0
gentle-full-clip,measurement,koenderink_2026_3d_metric_field,0.39018061762813794,True,0,0,0
gentle-full-clip,measurement,brown_1957_12obs_ellipsoids,0.3530528330493909,False,191,0,80
gentle-full-clip,measurement,wyszecki_fielder_1971_ellipsoids,0.3213119320611069,False,41,0,0
gentle-full-clip,measurement,brown_macadam_1949_ellipsoids,0.34423068214891656,False,378,0,187
gentle-full-clip,measurement,huang_2012_cielab_ellipses,0.315738198744914,True,0,0,0
gentle-full-clip,measurement,berns_1991_rit_dupont_tolerance_vectors,0.3259122166824958,True,0,0,0
gentle-full-clip,measurement,hong_2025_ellipsoids,0.2990782001350932,True,0,0,0
gentle-full-clip,measurement,bfd,32.31776650759854,True,,,
gentle-full-clip,measurement,leeds,27.11789551982636,True,,,
gentle-full-clip,measurement,witt,22.89447098562021,True,,,
gentle-full-clip,measurement,rit,29.37647538583915,True,,,
gentle-full-clip,measurement,macadam,32.468392142801754,True,0,0,0
