ptID,JND (DT units),chroma radius,quadrant,color dimension,direction
F06,1.6754,6.48,1,chroma,decreasing
F06,0.9026,6.48,4,hue,ccw
F06,0.9978,6.48,4,hue,cw
F06,1.2885,6.48,4,chroma,increasing
F06,1.6701,6.48,4,chroma,decreasing
F06,1.9771,9.18,1,hue,cw
F06,1.2925,9.18,1,hue,ccw
F06,1.6070,9.18,1,chroma,increasing
F06,1.6822,9.18,1,chroma,decreasing
F06,0.7145,9.18,4,hue,ccw
F06,1.2697,9.18,4,hue,cw
F06,1.1928,9.18,4,chroma,increasing
F06,1.2056,9.18,4,chroma,decreasing
F07,1.3615,3.24,1,hue,cw
F07,1.0718,3.24,1,hue,ccw
F07,0.9069,3.24,1,chroma,increasing
F07,1.6979,3.24,1,chroma,decreasing
F07,0.7823,3.24,4,hue,ccw
F07,0.8642,3.24,4,hue,cw
F07,1.6305,3.24,4,chroma,increasing
F07,1.6691,3.24,4,chroma,decreasing
F07,1.9766,6.48,1,hue,cw
F07,2.0105,6.48,1,hue,ccw
F07,2.1244,6.48,1,chroma,increasing
F07,2.7681,6.48,1,chroma,decreasing
F07,1.4347,6.48,4,hue,ccw
F07,0.8572,6.48,4,hue,cw
F07,1.8958,6.48,4,chroma,increasing
F07,2.1400,6.48,4,chroma,decreasing
F07,2.6773,9.18,1,hue,cw
F07,2.8292,9.18,1,hue,ccw
F07,2.1047,9.18,1,chroma,increasing
F07,2.9231,9.18,1,chroma,decreasing
F07,1.6641,9.18,4,hue,ccw
F07,2.7447,9.18,4,hue,cw
F07,2.2681,9.18,4,chroma,increasing
F07,2.7534,9.18,4,chroma,decreasing
F08,1.5922,3.24,1,hue,cw
F08,1.4497,3.24,1,hue,ccw
F08,1.1901,3.24,1,chroma,increasing
F08,2.7930,3.24,1,chroma,decreasing
F08,1.2176,3.24,4,hue,ccw
F08,0.8397,3.24,4,hue,cw
F08,1.1042,3.24,4,chroma,increasing
F08,2.5690,3.24,4,chroma,decreasing
F08,1.9287,6.48,1,hue,cw
F08,1.5753,6.48,1,hue,ccw
F08,2.4109,6.48,1,chroma,increasing
F08,2.4074,6.48,1,chroma,decreasing
F08,1.0604,6.48,4,hue,ccw
F08,0.8431,6.48,4,hue,cw
F08,2.0468,6.48,4,chroma,increasing
F08,1.8417,6.48,4,chroma,decreasing
F08,2.0283,9.18,1,hue,cw
F08,1.5048,9.18,1,hue,ccw
F08,2.5137,9.18,1,chroma,increasing
F08,2.8258,9.18,1,chroma,decreasing
F08,1.2565,9.18,4,hue,ccw
F08,1.2225,9.18,4,hue,cw
F08,1.6550,9.18,4,chroma,increasing
F08,2.1918,9.18,4,chroma,decreasing
F09,1.1978,3.24,1,hue,cw
F09,1.7761,3.24,1,hue,ccw
F09,1.6211,3.24,1,chroma,increasing
F09,1.8492,3.24,1,chroma,decreasing
F09,0.8876,3.24,4,hue,ccw
F09,1.2005,3.24,4,hue,cw
F09,1.5161,3.24,4,chroma,increasing
F09,2.0420,3.24,4,chroma,decreasing
